classification,xVariable,yVariable,xAxisLabel,yStart,1a0c,1a1c,1a2c,1a3c,2a0c,2a1c,2a2c,2a3c,all
All,20,0.02,Less than 100,,0.05,0.01,0.01,0.01,0.01,0,0.01,0.01,0.02
All,40,0.05,100-200,,0.15,0.04,0.01,0,0.02,0.01,0.01,0,0.05
All,60,0.1,200-300,,0.26,0.2,0.08,0.04,0.06,0.03,0.01,0.01,0.1
All,80,0.11,300-400,,0.2,0.28,0.26,0.2,0.11,0.05,0.03,0.04,0.11
All,100,0.11,400-500,,0.12,0.17,0.28,0.25,0.13,0.09,0.07,0.08,0.11
All,120,0.09,500-600,,0.07,0.12,0.19,0.2,0.11,0.09,0.07,0.13,0.09
All,140,0.07,600-700,,0.05,0.07,0.06,0.15,0.1,0.1,0.07,0.12,0.07
All,160,0.07,700-800,,0.03,0.04,0.05,0.08,0.08,0.09,0.1,0.13,0.07
All,180,0.06,800-900,,0.02,0.02,0.02,0.04,0.07,0.09,0.09,0.08,0.06
All,200,0.05,900-1000,,0.02,0.02,0.02,0.02,0.06,0.07,0.06,0.06,0.05
All,220,0.27,"More than 1,000",,0.04,0.03,0.03,0.01,0.27,0.36,0.49,0.33,0.27
